PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,PREVIOUS PLAY,prevPlay,currentPlay,Down/Dist Scenarios,Game Changing Scenarios,Run/Pass Scenarios
20.0,2.0,20.0,18.0,2.0,7.0,2.07.0,12.0,Pass,3X2 WING,5ST,OZ,OZ,5ST,0,0,Run < 10 yds
21.0,1.0,21.0,6.0,1.0,6.0,1.06.0,-10.0,Run,QUADS BONE,JET SWEEP,5ST,5ST,JET SWEEP,0,0,Run < 0 yds
23.0,1.0,23.0,16.0,1.0,16.0,1.016.0,1.0,Run,TWINS TITE HARDER,OZ,JET SWEEP,JET SWEEP,OZ,0,0,Run < 5 yds
24.0,2.0,24.0,15.0,2.0,15.0,2.015.0,11.0,Pass,3X2 WING,5ST,OZ,OZ,5ST,0,0,Run < 10 yds
26.0,3.0,26.0,4.0,3.0,4.0,3.04.0,4.0,Pass,TWINS OPEN SOFTER,3ST,5ST,5ST,3ST,0,0,Run < 5 yds
37.0,1.0,37.0,42.0,1.0,10.0,1.010.0,11.0,Run,QUADS BONE,OZ,3ST,3ST,OZ,3rd Down Conversion,0,Run for 1st Down
38.0,1.0,38.0,31.0,1.0,10.0,1.010.0,4.0,Run,QUADS BONE,JET SWEEP,OZ,OZ,JET SWEEP,0,0,Run for 1st Down
40.0,2.0,40.0,24.0,2.0,3.0,2.03.0,4.0,Pass,3X2 WING,3ST,JET SWEEP,JET SWEEP,3ST,0,0,Run < 5 yds
42.0,3.0,42.0,22.0,3.0,1.0,3.01.0,3.0,Pass,3X2 WING,3ST,3ST,3ST,3ST,0,0,Run < 5 yds
44.0,1.0,44.0,19.0,1.0,10.0,1.010.0,9.0,Run,QUEENS OPEN BUNCH,IZ,3ST,3ST,IZ,3rd Down Conversion,0,Run for 1st Down
46.0,2.0,46.0,10.0,2.0,1.0,2.01.0,5.0,Run,QUEENS OPEN DOUBLE WING,IZ RD,IZ,IZ,IZ RD,0,0,0
48.0,1.0,48.0,5.0,1.0,5.0,1.05.0,2.0,Run,JOKER,JET SWEEP,IZ RD,IZ RD,JET SWEEP,2nd Down Conversion,0,Run < 5 yds
50.0,2.0,50.0,3.0,2.0,3.0,2.03.0,4.0,Run,QUEENS OPEN BUNCH,IZ RD,JET SWEEP,JET SWEEP,IZ RD,0,0,Run < 5 yds
61.0,1.0,61.0,-48.0,1.0,10.0,1.010.0,7.0,Run,JOKER,IZ RD,IZ RD,IZ RD,IZ RD,2nd Down Conversion,0,Run for 1st Down
62.0,2.0,62.0,45.0,2.0,3.0,2.03.0,-3.0,Run,QUADS BONE,JET SWEEP,IZ RD,IZ RD,JET SWEEP,0,0,Run < 0 yds
63.0,3.0,63.0,48.0,3.0,6.0,3.06.0,4.0,Pass,QUEENS OPEN,3ST,JET SWEEP,JET SWEEP,3ST,0,0,Run < 5 yds
84.0,1.0,84.0,-8.0,1.0,10.0,1.010.0,5.0,Run,JOKER,CTR SW,3ST,3ST,CTR SW,3rd Down Conversion,0,Run for 1st Down
85.0,2.0,85.0,-13.0,2.0,5.0,2.05.0,5.0,Run,TWINS TITE HARDER,OZ,CTR SW,CTR SW,OZ,0,0,0
87.0,1.0,87.0,-18.0,1.0,10.0,1.010.0,1.0,Run,KINGS OPEN,IZ,OZ,OZ,IZ,2nd Down Conversion,0,Run for 1st Down
89.0,2.0,89.0,-19.0,2.0,9.0,2.09.0,7.0,Run,PRO SOFTER,JET SWEEP,IZ,IZ,JET SWEEP,0,0,0
91.0,3.0,91.0,-26.0,3.0,2.0,3.02.0,4.0,Run,TWINS TITE SOFTER,JET SWEEP,JET SWEEP,JET SWEEP,JET SWEEP,0,0,Run < 5 yds
93.0,1.0,93.0,-34.0,1.0,10.0,1.010.0,4.0,Pass,QUADS BONE,PA JET SWEEP,JET SWEEP,JET SWEEP,PA JET SWEEP,3rd Down Conversion,0,Run for 1st Down
95.0,2.0,95.0,-34.0,2.0,10.0,2.010.0,0.0,Run,QUEENS OPEN BUNCH,OZ,PA JET SWEEP,PA JET SWEEP,OZ,0,0,Run < 5 yds
99.0,2.0,99.0,-34.0,2.0,10.0,2.010.0,25.0,Pass,TWINS OPEN SOFTER,PA JET SWEEP,OZ,OZ,PA JET SWEEP,0,0,Run < 10 yds
