PLAY #,DN,playNum,ydLine,DOWN,DIST,DD,GN/LS,PLAY TYPE,OFF FORM,OFF PLAY,PREVIOUS PLAY,prevPlay,currentPlay,Down/Dist Scenarios,Game Changing Scenarios,Run/Pass Scenarios
263.0,4.0,263.0,39.0,4.0,4.0,4.04.0,4.0,Pass,JOKER,JET PASS,PA 5 ST,PA 5 ST,JET PASS,0,0,Run < 5 yds
294.0,1.0,294.0,-1.0,1.0,10.0,1.010.0,4.0,Run,KINGS TITE,QB SNEAK,JET PASS,JET PASS,QB SNEAK,4th and Long Conversion,0,Run for 1st Down
296.0,2.0,296.0,-1.0,2.0,10.0,2.010.0,4.0,Run,KINGS TITE,IZ,QB SNEAK,QB SNEAK,IZ,0,0,Run < 5 yds
316.0,1.0,316.0,-34.0,1.0,10.0,1.010.0,4.0,Run,QUEENS OPEN,QB DRAW,IZ,IZ,QB DRAW,2nd Down Conversion,0,Run for 1st Down
318.0,2.0,318.0,-37.0,2.0,7.0,2.07.0,4.0,Pass,QUEENS OPEN,5 ST,QB DRAW,QB DRAW,5 ST,0,0,Run < 5 yds
320.0,3.0,320.0,-37.0,3.0,7.0,3.07.0,4.0,Pass,TWINS OPEN HARDER,5 ST,5 ST,5 ST,5 ST,0,0,Run < 5 yds
322.0,4.0,322.0,-37.0,4.0,7.0,4.07.0,4.0,Pass,TWINS OPEN SOFTER,5 ST,5 ST,5 ST,5 ST,0,0,Run < 5 yds
324.0,1.0,324.0,-45.0,1.0,10.0,1.010.0,4.0,Pass,QUEENS OPEN,5 ST,5 ST,5 ST,5 ST,4th and Long Conversion,0,Run for 1st Down
326.0,1.0,326.0,-35.0,1.0,20.0,1.020.0,4.0,Pass,QUEENS OPEN,5 ST,5 ST,5 ST,5 ST,0,0,Run < 5 yds
328.0,1.0,328.0,44.0,1.0,25.0,1.025.0,4.0,Pass,QUEENS OPEN,5 ST,5 ST,5 ST,5 ST,0,0,Run < 5 yds
330.0,1.0,330.0,-41.0,1.0,20.0,1.020.0,4.0,Run,TWINS OPEN SOFTER,JET SWEEP,5 ST,5 ST,JET SWEEP,0,0,Run < 5 yds
332.0,2.0,332.0,-41.0,2.0,25.0,2.025.0,5.0,Pass,TWINS OPEN HARDER,5 ST,JET SWEEP,JET SWEEP,5 ST,0,0,Pass Complete
334.0,3.0,334.0,-46.0,3.0,25.0,3.025.0,0.0,Pass,QUEENS OPEN,5 ST,5 ST,5 ST,5 ST,0,0,Run < 5 yds
336.0,4.0,336.0,-46.0,4.0,20.0,4.020.0,4.0,Pass,QUEENS OPEN,5 ST,5 ST,5 ST,5 ST,0,0,Run < 5 yds
8.0,1.0,8.0,-45.0,1.0,10.0,1.010.0,4.0,Run,KINGS OPEN,IZ RD,5 ST,5 ST,IZ RD,4th and Long Conversion,0,Run for 1st Down
9.0,2.0,9.0,-49.0,2.0,6.0,2.06.0,3.0,Pass,SPREAD,BUBBLE SCREEN,IZ RD,IZ RD,BUBBLE SCREEN,0,0,Run < 5 yds
10.0,3.0,10.0,48.0,3.0,3.0,3.03.0,4.0,Pass,QUADS,3 ST,BUBBLE SCREEN,BUBBLE SCREEN,3 ST,0,0,Run < 5 yds
26.0,1.0,26.0,11.0,1.0,10.0,1.010.0,3.0,Run,TWINS TITE HARDER,JET SWEEP,3 ST,3 ST,JET SWEEP,3rd Down Conversion,0,Run for 1st Down
27.0,2.0,27.0,8.0,2.0,7.0,2.07.0,3.0,Run,JOKER,OZ,JET SWEEP,JET SWEEP,OZ,0,0,Run < 5 yds
28.0,3.0,28.0,5.0,3.0,4.0,3.04.0,4.0,Pass,TWINS OPEN SOFTER,NAKED BOOT,OZ,OZ,NAKED BOOT,0,0,Run < 5 yds
32.0,1.0,32.0,-34.0,1.0,10.0,1.010.0,33.0,Pass,KINGS,SPRINT,NAKED BOOT,NAKED BOOT,SPRINT,3rd Down Conversion,Run/Pass > 30 yds,Run for 1st Down
33.0,1.0,33.0,33.0,1.0,10.0,1.010.0,7.0,Run,QUEENS TITE,IZ,SPRINT,SPRINT,IZ,0,0,Run for 1st Down
34.0,2.0,34.0,29.0,2.0,6.0,2.06.0,3.0,Run,TWINS TITE HARDER,IZ,IZ,IZ,IZ,0,0,Run < 5 yds
35.0,3.0,35.0,26.0,3.0,3.0,3.03.0,0.0,Pass,QUADS,5 ST,IZ,IZ,5 ST,0,0,Run < 5 yds
36.0,4.0,36.0,26.0,4.0,3.0,4.03.0,4.0,Pass,KINGS OPEN,SPRINT,5 ST,5 ST,SPRINT,0,0,Run < 5 yds
43.0,1.0,43.0,-44.0,1.0,10.0,1.010.0,3.0,Run,TWINS TITE SOFTER,OZ,SPRINT,SPRINT,OZ,4th and Short Conversion,0,Run for 1st Down
44.0,2.0,44.0,-47.0,2.0,7.0,2.07.0,-15.0,Pass,QUEENS TITE,BUBBLE SCREEN,OZ,OZ,BUBBLE SCREEN,0,0,Run < 0 yds
45.0,2.0,45.0,-32.0,2.0,22.0,2.022.0,0.0,Pass,QUEENS TITE,PA IZ,BUBBLE SCREEN,BUBBLE SCREEN,PA IZ,0,0,Run < 5 yds
46.0,3.0,46.0,-32.0,3.0,22.0,3.022.0,4.0,Run,EMPTY 3 X 2,QB DRAW,PA IZ,PA IZ,QB DRAW,0,0,Run < 5 yds
56.0,1.0,56.0,-22.0,1.0,10.0,1.010.0,3.0,Run,QUEENS TITE,IZ,QB DRAW,QB DRAW,IZ,3rd Down Conversion,0,Run for 1st Down
57.0,2.0,57.0,-25.0,2.0,7.0,2.07.0,2.0,Run,TWINS OPEN HARDER,SPLIT IZ,IZ,IZ,SPLIT IZ,0,0,Run < 5 yds
58.0,3.0,58.0,-27.0,3.0,5.0,3.05.0,4.0,Pass,QUEENS TITE,BUBBLE SCREEN,SPLIT IZ,SPLIT IZ,BUBBLE SCREEN,0,0,Run < 5 yds
67.0,1.0,67.0,-11.0,1.0,10.0,1.010.0,3.0,Run,QUEENS OPEN,IZ,BUBBLE SCREEN,BUBBLE SCREEN,IZ,3rd Down Conversion,0,Run for 1st Down
68.0,2.0,68.0,-14.0,2.0,7.0,2.07.0,-5.0,Pass,QUADS,3 ST,IZ,IZ,3 ST,0,0,Run < 0 yds
69.0,2.0,69.0,-9.0,2.0,12.0,2.012.0,4.0,Run,QUEENS OPEN,QB ISO,3 ST,3 ST,QB ISO,0,0,Run < 5 yds
70.0,3.0,70.0,-13.0,3.0,8.0,3.08.0,4.0,Run,QUADS BONE,JET SWEEP,QB ISO,QB ISO,JET SWEEP,0,0,Run < 5 yds
76.0,1.0,76.0,-10.0,1.0,10.0,1.010.0,5.0,Run,TWINS OPEN HARDER,OZ,JET SWEEP,JET SWEEP,OZ,3rd Down Conversion,0,Run for 1st Down
77.0,2.0,77.0,-15.0,2.0,5.0,2.05.0,4.0,Run,QUEENS OPEN,IZ RD,OZ,OZ,IZ RD,0,0,Run < 5 yds
80.0,1.0,80.0,-12.0,1.0,10.0,1.010.0,4.0,Run,VICTORY,KNEEL,IZ RD,IZ RD,KNEEL,2nd Down Conversion,0,Run for 1st Down
82.0,1.0,82.0,-36.0,1.0,10.0,1.010.0,1.0,Run,SPREAD,IZ,KNEEL,KNEEL,IZ,0,0,Run for 1st Down
83.0,2.0,83.0,-37.0,2.0,9.0,2.09.0,0.0,Pass,QUEENS TITE,BUBBLE SCREEN,IZ,IZ,BUBBLE SCREEN,0,0,Run < 5 yds
84.0,3.0,84.0,-37.0,3.0,9.0,3.09.0,4.0,Pass,KINGS OPEN,SPRINT,BUBBLE SCREEN,BUBBLE SCREEN,SPRINT,0,0,Run < 5 yds
