Down/Dist Scenarios,,0,0,0,0,0,0,0,0,2nd Down Conversion,2nd Down Conversion,3rd Down Conversion,4th and Long Conversion,4th and Short Conversion
SPREAD BONE T OVER,PA POWER,0,0,0,0,0,0,0,0,0,0,0,2,0
SPREAD BONE T OVER,POWER,0,0,0,0,4,0,0,0,0,0,0,0,0
SPREAD BONE T OVER,WING CTR,0,0,0,0,2,0,0,0,0,2,0,2,0
TERRY,NO PLAY,0,0,1,0,0,0,0,0,0,0,0,0,0
TERRY,QB BUCK SWEEP,0,0,3,0,0,0,0,0,0,0,0,0,0
TERRY,WING CTR,0,0,0,0,2,0,0,0,0,0,0,0,0
TWINS OPEN HARD,5ST,0,0,0,6,4,0,0,0,0,0,0,0,0
TWINS OPEN HARD,BUCK SWEEP,0,0,2,0,0,2,0,0,0,2,0,0,0
TWINS OPEN HARD,JET SWEEP,0,0,2,0,0,0,0,0,0,0,0,0,0
TWINS OPEN HARD,PA POWER,0,0,2,0,4,0,0,2,0,0,0,0,0
TWINS OPEN HARD,POWER,0,0,2,0,0,3,0,0,0,0,4,1,0
TWINS OPEN HARD,POWER BOOT,0,0,0,0,5,0,0,0,0,0,0,0,0
TWINS OPEN HARD,POWER RD,0,0,2,0,0,0,0,0,0,0,0,0,2
TWINS OPEN HARD,PULL BOOT,0,0,0,0,1,0,0,0,0,0,0,0,0
TWINS OPEN HARD,QB DBL POWER,0,0,0,0,5,0,0,0,0,0,0,0,0
TWINS OPEN HARD,QB POWER,0,0,0,0,1,0,0,0,0,0,0,0,0
TWINS OPEN HARD,QB T WRAP,0,0,2,0,4,0,0,0,0,0,0,0,0
TWINS OPEN HARDER,SPLIT IZ,0,0,0,0,1,1,0,0,0,0,1,0,0
TWINS OPEN HARDER,SPLIT ZONE,0,0,0,0,0,0,0,0,0,1,0,0,0
TWINS OPEN HARDER,SPRINT,0,0,0,0,5,0,0,0,0,0,0,0,0
